[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 10 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 11 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 12 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 13 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 14 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 15 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 16 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 17 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 18 [] []
[2020-09-09 12:11:04] producer.DEBUG: Producing: Message 19 [] []
